model_name,temperature,seed,num_generations,premise,unfiltered_conversation,alice_dialogues,bob_dialogues,error_message,alice_emotion_scores,bob_emotion_scores
llama3_70b_instruct,0.7,42,4,Two rivals in a political campaign debate their policies during a televised interview.,"Alice: My opponent's plan for economic growth relies too heavily on speculation and neglects the struggles of our working class citizens.\nBob: That's a mischaracterization, and my plan has been endorsed by leading economists who know a thing or two about creating jobs.\nAlice: Endorsements from economists don't put food on the table for families who are barely scraping by, and my plan prioritizes their needs above all else.\nBob: My opponent's plan may sound appealing, but it's been tried before and has consistently failed to deliver results, whereas my approach is based on proven strategies.\nAlice: Proven strategies that benefit only the wealthy elite, perhaps, but not the average citizen who deserves a fair shot at success.\nBob: That's a baseless accusation, and I've consistently demonstrated my commitment to serving all members of our community, not just a select few. \n[END]","[""My opponent's plan for economic growth relies too heavily on speculation and neglects the struggles of our working class citizens."", ""Endorsements from economists don't put food on the table for families who are barely scraping by, and my plan prioritizes their needs above all else."", 'Proven strategies that benefit only the wealthy elite, perhaps, but not the average citizen who deserves a fair shot at success.']","[""That's a mischaracterization, and my plan has been endorsed by leading economists who know a thing or two about creating jobs."", ""My opponent's plan may sound appealing, but it's been tried before and has consistently failed to deliver results, whereas my approach is based on proven strategies."", ""That's a baseless accusation, and I've consistently demonstrated my commitment to serving all members of our community, not just a select few. ""]",,"{'happiness': [2.910224437713623, 14.350786209106445, -23.966289520263672], 'sadness': [7.968334197998047, 8.483582496643066, 10.48132038116455], 'anger': [15.393326759338379, 8.91304874420166, 18.60899543762207], 'fear': [-2.0130362510681152, -6.962009429931641, -1.5870949029922485], 'disgust': [7.404869079589844, 0.8725943565368652, 7.830993175506592], 'surprise': [-3.026897430419922, -3.378303289413452, -13.98409366607666]}","{'happiness': [1.8087773323059082, 9.980218887329102, 6.181942939758301], 'sadness': [-6.939698696136475, -1.426662564277649, -8.594816207885742], 'anger': [9.993538856506348, 15.974720001220703, 11.17888355255127], 'fear': [-7.307486534118652, -8.875003814697266, -3.811415910720825], 'disgust': [-5.0399346351623535, -2.1810810565948486, -6.556530952453613], 'surprise': [-10.056452751159668, -9.029438972473145, -16.731672286987305]}"
llama3_70b_instruct,0.7,42,4,Two rivals in a political campaign debate their policies during a televised interview.,"Alice: My opponent's tax plan will bankrupt our state, mark my words.\nBob: That's a scare tactic, Alice, and the people see right through it.\nAlice: I'm simply stating the facts, whereas you're relying on empty promises.\nBob: At least my promises aren't tied to special interest groups like yours are.\nAlice: That's a baseless accusation, and I have the endorsements to prove it.\nBob: Endorsements from wealthy donors, perhaps, but not from the people who matter. \n[END]","[""My opponent's tax plan will bankrupt our state, mark my words."", ""I'm simply stating the facts, whereas you're relying on empty promises."", ""That's a baseless accusation, and I have the endorsements to prove it.""]","[""That's a scare tactic, Alice, and the people see right through it."", ""At least my promises aren't tied to special interest groups like yours are."", 'Endorsements from wealthy donors, perhaps, but not from the people who matter. ']",,"{'happiness': [-17.937419891357422, -6.299720287322998, 0.9635170698165894], 'sadness': [-12.123432159423828, -8.92516803741455, -11.580708503723145], 'anger': [9.784689903259277, 13.8422269821167, 11.591066360473633], 'fear': [-0.01949375681579113, -1.8174734115600586, -4.455430030822754], 'disgust': [-5.4258599281311035, -8.206750869750977, -6.856137275695801], 'surprise': [-12.908318519592285, -12.445895195007324, -16.572757720947266]}","{'happiness': [4.266047477722168, -13.312942504882812, -25.44974136352539], 'sadness': [-7.9717512130737305, -13.66972827911377, 8.91810417175293], 'anger': [7.365872859954834, 8.349177360534668, 16.44669532775879], 'fear': [-4.536876678466797, 7.946949481964111, -6.718596935272217], 'disgust': [-6.664813995361328, -8.916905403137207, 2.0150508880615234], 'surprise': [-9.328344345092773, -12.823915481567383, -13.443845748901367]}"
llama3_70b_instruct,0.7,42,4,Two rivals in a political campaign debate their policies during a televised interview.,"Alice: My opponent's tax plan would bankrupt our great nation, mark my words.\nBob: That's rich coming from the candidate who wants to increase spending by 20%.\nAlice: At least my plan invests in our children's education, rather than lining the pockets of wealthy donors.\nBob: The wealthy are the backbone of this economy, and they deserve a break.\nAlice: A break? They've been getting breaks for decades, while the middle class suffers.\nBob: My plan puts America first, and that means taking care of those who create jobs. [END]","[""My opponent's tax plan would bankrupt our great nation, mark my words."", ""At least my plan invests in our children's education, rather than lining the pockets of wealthy donors."", ""A break? They've been getting breaks for decades, while the middle class suffers.""]","[""That's rich coming from the candidate who wants to increase spending by 20%."", 'The wealthy are the backbone of this economy, and they deserve a break.', 'My plan puts America first, and that means taking care of those who create jobs. ']",,"{'happiness': [-17.831270217895508, 2.4411046504974365, -20.51962661743164], 'sadness': [-12.203486442565918, -9.652416229248047, 1.1859492063522339], 'anger': [7.823380470275879, 6.511226654052734, 16.419240951538086], 'fear': [0.3530322015285492, -4.0101447105407715, 3.235867738723755], 'disgust': [-5.3747878074646, -7.947707176208496, -2.230877161026001], 'surprise': [-11.370402336120605, -12.951539039611816, -11.955557823181152]}","{'happiness': [-13.355186462402344, -17.369983673095703, -11.49260425567627], 'sadness': [-5.244159698486328, -11.525647163391113, -11.34626579284668], 'anger': [10.000479698181152, 5.067920207977295, 5.351047515869141], 'fear': [-6.631595134735107, 6.282092094421387, 9.762587547302246], 'disgust': [-3.224181890487671, -2.947362184524536, -4.372211933135986], 'surprise': [-10.926898002624512, -14.045592308044434, -13.727790832519531]}"
llama3_70b_instruct,0.7,42,4,Two rivals in a political campaign debate their policies during a televised interview.,"Alice: My opponent's plan for economic growth relies on outdated models and neglects the struggles of small businesses.\nBob: That's a misrepresentation of my stance, and I'd like to correct the record - my plan prioritizes job creation and lower taxes.\nAlice: Lower taxes may sound appealing, but they'll only widen the wealth gap and leave our most vulnerable citizens behind.\nBob: We can't ignore the fact that high taxes stifle innovation and drive entrepreneurs away - my plan will create opportunities for all.\nAlice: I'd rather focus on investing in education and infrastructure, which will have a lasting impact on our community's prosperity.\nBob: Those are just empty promises without a clear plan for funding - my proposal is rooted in fiscal responsibility and common sense. \n[END]","[""My opponent's plan for economic growth relies on outdated models and neglects the struggles of small businesses."", ""Lower taxes may sound appealing, but they'll only widen the wealth gap and leave our most vulnerable citizens behind."", ""I'd rather focus on investing in education and infrastructure, which will have a lasting impact on our community's prosperity.""]","[""That's a misrepresentation of my stance, and I'd like to correct the record - my plan prioritizes job creation and lower taxes."", ""We can't ignore the fact that high taxes stifle innovation and drive entrepreneurs away - my plan will create opportunities for all."", 'Those are just empty promises without a clear plan for funding - my proposal is rooted in fiscal responsibility and common sense. ']",,"{'happiness': [9.555131912231445, -16.590864181518555, 16.014970779418945], 'sadness': [8.964900016784668, 13.336444854736328, 4.236016273498535], 'anger': [16.00455665588379, 12.7311429977417, 7.645765781402588], 'fear': [-3.607746124267578, -5.415997505187988, -6.890285491943359], 'disgust': [8.501595497131348, 8.209264755249023, -0.4404486417770386], 'surprise': [-0.0056364391930401325, -7.975310802459717, -0.2968520224094391]}","{'happiness': [8.86043930053711, -10.7361421585083, 7.970433235168457], 'sadness': [-9.418163299560547, -12.954963684082031, 1.8378162384033203], 'anger': [9.82999324798584, 9.256599426269531, 11.368380546569824], 'fear': [-4.486914157867432, 7.451394557952881, -9.1646089553833], 'disgust': [-8.870697975158691, -5.6828532218933105, -1.7826606035232544], 'surprise': [-10.57547664642334, -12.808793067932129, -8.821634292602539]}"
llama3_70b_instruct,0.7,42,4,A pair of pirates argue over the best route to find buried treasure.,"Alice: We should follow the map to Dead Man's Cove, it's the most direct route.\nBob: But we'll be sailing right into the jaws of the British Navy.\nAlice: They're not patrolling that far north, we'll be fine.\nBob: Fine? You want to risk getting caught for a maybe?\nAlice: The treasure is worth the risk, and I've got a feeling about this one.\nBob: My gut says we should chart a course around the islands, safer and smarter.","[""We should follow the map to Dead Man's Cove, it's the most direct route."", ""They're not patrolling that far north, we'll be fine."", ""The treasure is worth the risk, and I've got a feeling about this one.""]","[""But we'll be sailing right into the jaws of the British Navy."", 'Fine? You want to risk getting caught for a maybe?', 'My gut says we should chart a course around the islands, safer and smarter.']",,"{'happiness': [-5.286750793457031, 2.9522666931152344, 8.610623359680176], 'sadness': [8.014713287353516, -0.9692350625991821, -1.7237273454666138], 'anger': [3.272444486618042, 8.542622566223145, 3.7321701049804688], 'fear': [-8.368779182434082, -7.785549163818359, -8.0780611038208], 'disgust': [11.9347562789917, -4.403492450714111, -3.9300785064697266], 'surprise': [1.1759588718414307, -10.7929048538208, -2.6813812255859375]}","{'happiness': [-14.716774940490723, -15.336739540100098, 7.9587812423706055], 'sadness': [12.191689491271973, -13.825206756591797, 0.6539192795753479], 'anger': [3.222623348236084, 9.003280639648438, 8.982073783874512], 'fear': [-7.1545515060424805, 7.551113128662109, -6.457442283630371], 'disgust': [10.248680114746094, -6.072786331176758, 0.871883749961853], 'surprise': [7.542317867279053, -16.16788673400879, -2.4051780700683594]}"
llama3_70b_instruct,0.7,42,4,A pair of pirates argue over the best route to find buried treasure.,"Alice: The map clearly says to follow the coastline north for three days.\nBob: I've been around these waters longer than you, and I know a shortcut through the islands.\nAlice: But what if we get stuck in the shoals?\nBob: We won't get stuck, I've navigated these waters a hundred times.\nAlice: And what about the rumors of sea monsters in those waters?\nBob: You don't believe in sea monsters, do you? \n[END]","['The map clearly says to follow the coastline north for three days.', 'But what if we get stuck in the shoals?', 'And what about the rumors of sea monsters in those waters?']","[""I've been around these waters longer than you, and I know a shortcut through the islands."", ""We won't get stuck, I've navigated these waters a hundred times."", ""You don't believe in sea monsters, do you? ""]",,"{'happiness': [10.7515287399292, -2.468416929244995, 12.945732116699219], 'sadness': [4.059165954589844, 1.3427919149398804, 10.741323471069336], 'anger': [8.746960639953613, 10.965983390808105, 4.938995838165283], 'fear': [-8.390149116516113, 1.7019895315170288, -1.1118015050888062], 'disgust': [8.131635665893555, 2.2895314693450928, 7.846837043762207], 'surprise': [1.7117481231689453, -6.75610876083374, 8.152535438537598]}","{'happiness': [10.873973846435547, 9.769258499145508, 5.587453365325928], 'sadness': [6.670665264129639, 2.7754857540130615, -2.570861577987671], 'anger': [9.37804126739502, 7.756976127624512, -3.943678140640259], 'fear': [-8.847420692443848, -11.338919639587402, -0.9487754702568054], 'disgust': [-5.704278469085693, -0.7556553483009338, 1.1556509733200073], 'surprise': [-1.8348413705825806, -9.518826484680176, 5.341096878051758]}"
llama3_70b_instruct,0.7,42,4,A pair of pirates argue over the best route to find buried treasure.,"```\nAlice: We should head east through the mangrove swamp, it's the most direct route.\nBob: Are ye mad? The swamp is crawling with snakes and disease.\nAlice: Aye, but the map says the treasure lies beneath the old windmill on the eastern coast.\nBob: I've heard tales of a hidden cove to the west, protected by a secret passage.\nAlice: That's just a myth, and even if it weren't, we'd waste days searching for it.\nBob: I'd rather take me chances on a myth than risk me life in that cursed swamp.\n[END]\n```","[""We should head east through the mangrove swamp, it's the most direct route."", 'Aye, but the map says the treasure lies beneath the old windmill on the eastern coast.', ""That's just a myth, and even if it weren't, we'd waste days searching for it.""]","['Are ye mad? The swamp is crawling with snakes and disease.', ""I've heard tales of a hidden cove to the west, protected by a secret passage."", ""I'd rather take me chances on a myth than risk me life in that cursed swamp.""]",,"{'happiness': [-0.6858072876930237, 11.136628150939941, -8.4173583984375], 'sadness': [6.512188911437988, 8.605451583862305, 1.8940575122833252], 'anger': [3.301666021347046, -3.639678955078125, 7.173417091369629], 'fear': [-5.362088203430176, -11.400893211364746, -13.55289077758789], 'disgust': [11.739832878112793, 9.006072044372559, -2.207416534423828], 'surprise': [-0.8387207388877869, 13.155797004699707, -3.191910982131958]}","{'happiness': [-10.242939949035645, 22.055864334106445, 2.405703067779541], 'sadness': [3.328848123550415, 20.873626708984375, 5.806407928466797], 'anger': [0.6499996781349182, -0.22475698590278625, 3.15500545501709], 'fear': [-3.6364526748657227, -3.321714401245117, -13.681756019592285], 'disgust': [8.316332817077637, 3.260218858718872, 3.2466673851013184], 'surprise': [4.626448154449463, 18.5699405670166, -6.3856000900268555]}"
llama3_70b_instruct,0.7,42,4,A pair of pirates argue over the best route to find buried treasure.,"```\nAlice: I'm telling ye, Bob, the map clearly points to the east coast of Tortuga.\nBob: Ye can't be serious, Alice, the west coast has always been the most profitable.\nAlice: Profitable, maybe, but the east coast has the ancient ruins, and that's where the real treasure lies.\nBob: Ancient ruins mean booby traps and curses, not treasure.\nAlice: Ye're just afraid of a little danger, Bob, but I'm not backing down.\nBob: Fine, but if we get ourselves killed, I'm blaming ye.\n[END]\n```","[""I'm telling ye, Bob, the map clearly points to the east coast of Tortuga."", ""Profitable, maybe, but the east coast has the ancient ruins, and that's where the real treasure lies."", ""Ye're just afraid of a little danger, Bob, but I'm not backing down.""]","[""Ye can't be serious, Alice, the west coast has always been the most profitable."", 'Ancient ruins mean booby traps and curses, not treasure.', ""Fine, but if we get ourselves killed, I'm blaming ye.""]",,"{'happiness': [8.383405685424805, 7.512650966644287, -3.064657211303711], 'sadness': [-4.905786037445068, 14.646961212158203, -5.323740482330322], 'anger': [-4.192176342010498, 5.5395188331604, 2.6168885231018066], 'fear': [-9.544974327087402, -14.713411331176758, -5.836278438568115], 'disgust': [4.1875224113464355, 2.935213327407837, -3.511875629425049], 'surprise': [8.990557670593262, 2.5136992931365967, -4.501932621002197]}","{'happiness': [-9.744532585144043, -8.206815719604492, -11.785096168518066], 'sadness': [-7.002442836761475, 17.904075622558594, -4.961573600769043], 'anger': [7.235067367553711, 2.6119871139526367, 3.563082218170166], 'fear': [-8.097855567932129, -9.059264183044434, -5.8922810554504395], 'disgust': [-3.7689249515533447, 13.574800491333008, -7.059845924377441], 'surprise': [-0.12019310146570206, 11.151667594909668, -3.5099353790283203]}"
llama3_70b_instruct,0.7,42,4,Two high school students discuss their strategies for passing a challenging exam.,"Alice: I've been studying for weeks, but I'm still worried I'll forget something important.\nBob: I'm relying on cramming the night before, it's worked for me in the past.\nAlice: That's so risky, what if you can't retain all the information?\nBob: At least I'll have a chance to review everything one last time.\nAlice: I've been making flashcards and practice quizzes to help me memorize key terms.\nBob: I'll just read through my notes a few times and hope for the best.","[""I've been studying for weeks, but I'm still worried I'll forget something important."", ""That's so risky, what if you can't retain all the information?"", ""I've been making flashcards and practice quizzes to help me memorize key terms.""]","[""I'm relying on cramming the night before, it's worked for me in the past."", ""At least I'll have a chance to review everything one last time."", ""I'll just read through my notes a few times and hope for the best.""]",,"{'happiness': [-7.327027320861816, 0.33282729983329773, 16.371139526367188], 'sadness': [-1.2423286437988281, -8.419214248657227, -9.255354881286621], 'anger': [14.245078086853027, 14.774282455444336, 4.869174480438232], 'fear': [-1.9364190101623535, -3.4171767234802246, -9.954200744628906], 'disgust': [0.38099876046180725, -2.6422743797302246, -8.8048677444458], 'surprise': [-9.152959823608398, -9.682454109191895, 5.554492950439453]}","{'happiness': [-20.863346099853516, -7.432214736938477, -18.465572357177734], 'sadness': [-4.599983215332031, 2.0642335414886475, -0.23480382561683655], 'anger': [10.428193092346191, 7.1112565994262695, 2.521195650100708], 'fear': [-6.118894577026367, -13.741793632507324, -12.003805160522461], 'disgust': [1.1607143878936768, 1.2927110195159912, 1.2950137853622437], 'surprise': [-9.149214744567871, -9.124552726745605, -5.871391773223877]}"
llama3_70b_instruct,0.7,42,4,Two high school students discuss their strategies for passing a challenging exam.,"Alice: I've been studying for weeks, but I'm still not feeling confident about the math section.\nBob: Yeah, I've been having trouble with it too, but I found this online tutorial that really helped me understand the concepts.\nAlice: That sounds great, I'll have to check it out - do you think it's a good idea to make flashcards for the vocabulary section?\nBob: Definitely, I made a set and it's been a huge help in memorizing all the terms.\nAlice: Okay, I'll add that to my to-do list - what's your plan for the essay question?\nBob: I'm going to try to outline my answer as quickly as possible, and then just focus on getting my thoughts down on paper.","[""I've been studying for weeks, but I'm still not feeling confident about the math section."", ""That sounds great, I'll have to check it out - do you think it's a good idea to make flashcards for the vocabulary section?"", ""Okay, I'll add that to my to-do list - what's your plan for the essay question?""]","[""Yeah, I've been having trouble with it too, but I found this online tutorial that really helped me understand the concepts."", ""Definitely, I made a set and it's been a huge help in memorizing all the terms."", ""I'm going to try to outline my answer as quickly as possible, and then just focus on getting my thoughts down on paper.""]",,"{'happiness': [0, 11.96106243133545, -1.1788049936294556], 'sadness': [0, -7.715559959411621, -9.980603218078613], 'anger': [0, 0.6468279957771301, 10.237079620361328], 'fear': [0, -3.8954102993011475, -2.948913812637329], 'disgust': [0, 2.5955162048339844, -0.14309169352054596], 'surprise': [0, -0.16677187383174896, -8.516647338867188]}","{'happiness': [13.038829803466797, 13.614376068115234, 5.062834739685059], 'sadness': [-7.988142967224121, -14.971160888671875, -9.896110534667969], 'anger': [2.7607240676879883, -2.2368390560150146, 10.235960960388184], 'fear': [-10.492884635925293, -6.882509231567383, -1.4703665971755981], 'disgust': [0.2353770136833191, -7.857588768005371, -4.29539155960083], 'surprise': [-7.134912014007568, -0.1516890674829483, -5.057689189910889]}"
