probing_dataset,emotion,text_example
custom,fear,"I don't know if I can trust him with that information, what if he uses it against us?",None
custom,fear,"The weather forecast said there's a chance of a severe storm tonight, do you think we'll be okay driving home?",None
custom,fear,I'm not convinced the babysitter knows what she's doing; what if something happens to the kids while we're gone?,None
custom,fear,"I've been hearing strange noises in the basement at night, do you think it could be something serious?",None
custom,fear,"The doctor said they found something unusual in my scan, and I can't stop thinking about what it could mean.",None
custom,fear,"I heard there's been a string of break-ins in the neighborhood lately, what if we're next?",None
custom,fear,"That dog looks really aggressive, should we cross the street just to be safe?",None
custom,fear,I feel uneasy about this business deal; what if it turns out to be a scam?,None
custom,fear,"They say the old house at the end of the street is haunted, do you really think it's safe to go in there?",None
custom,fear,"My boss wants to see me first thing tomorrow morning, what if it's bad news?",None
custom,fear,"I read an article about how dangerous these theme park rides can be, are you sure you still want to go?",None
custom,fear,"There's a weird guy that's been hanging around outside my building, do you think we should call the police?",None
custom,fear,"I can't believe we have to walk through this dark alley, it just doesn't feel right.",None
custom,fear,"The test results are coming in tomorrow, and I can't help but think about all the worst-case scenarios.",None
custom,fear,"I have a bad feeling about this shortcut, it looks pretty deserted.",None
custom,fear,"They mentioned layoffs are coming soon, do you think I could be on the list?",None
custom,fear,"I'm not sure if we should invest in this, what if the market crashes again?",None
custom,fear,"The plane is making some strange noises, do you think it's something serious?",None
custom,fear,"My phone's been acting weird after I downloaded that app, what if it's some kind of virus?",None
custom,fear,"I don't trust that new guy in the office, he seems too interested in our personal lives.",None
custom,fear,"The way she looked at me was really unsettling, do you think she knows something?",None
custom,fear,"The lights flickered again, what if there's something wrong with the electrical wiring?",None
custom,fear,"I have a bad feeling about this meeting, it feels like something big is about to change.",None
custom,fear,"That building looks like it's about to collapse, should we even be walking this close to it?",None
custom,fear,"The babysitter hasn't called to check in, do you think everything is alright at home?",None
custom,fear,"There's a storm warning for tonight, do you think we should cancel our plans?",None
custom,fear,"The way the boss spoke to me today was really weird, what if I'm getting fired?",None
custom,fear,"I heard there's been a virus outbreak in the area, do you think it's safe to go out?",None
custom,fear,"The car's making a funny noise, do you think it's going to break down?",None
custom,fear,"This whole place gives me the creeps, are you sure we should be here?",None
custom,fear,"The new medication has a lot of side effects, what if it makes things worse?",None
custom,fear,"I saw something moving in the bushes, do you think it could be a wild animal?",None
custom,fear,"The news said there might be a terrorist threat, do you think we should avoid the city today?",None
custom,fear,"I've got this gut feeling that the presentation is going to flop, what if they hate it?",None
custom,fear,"Someone left a strange package at my door, do you think it could be dangerous?",None
custom,fear,"I read that the crime rate in this area has gone up, are you sure we're safe here?",None
custom,fear,"The tunnel ahead looks really dark and narrow, do you think it's safe to drive through?",None
custom,fear,"The park is so empty today, do you think we should stick around?",None
custom,fear,"I just remembered I left the stove on, what if the house catches fire?",None
custom,fear,"That car has been parked outside for hours, do you think they're watching us?",None
custom,fear,"The new guy at work seems off, what if he's hiding something?",None
custom,fear,"There's a strange smell coming from the basement, do you think it could be a gas leak?",None
custom,fear,"My mom hasn't answered her phone all day, what if something's wrong?",None
custom,fear,"The hike trail looks deserted, are you sure it's safe to go alone?",None
custom,fear,"I heard a scream from the other side of the building, do you think we should check it out?",None
custom,fear,"The police sirens have been going off all night, do you think something serious is happening nearby?",None
custom,fear,"I can't shake the feeling that the interview didn't go well, what if I don't get the job?",None
custom,fear,"The elevator just made a weird noise, do you think it might get stuck?",None
custom,fear,"I've heard there are bears in these woods, are you sure we should be camping here?",None
custom,fear,"The babysitter isn't answering her phone, what if something happened to the kids?",None
custom,fear,"I read that this area is prone to landslides, do you think it's safe to go hiking?",None
custom,fear,"That new neighbor gives me a bad vibe, what if he's up to something sinister?",None
custom,fear,"I feel uneasy about this blind date, what if he's not who he says he is?",None
custom,fear,"The forecast predicts heavy snow tonight, what if we get stranded on our way home?",None
