probing_dataset,emotion,text_example
custom,sadness,"It’s like every morning I wake up, the world feels a bit colder and less welcoming than it used to.",None
custom,sadness,Sometimes I wonder if anyone would even notice if I just stopped showing up altogether.,None
custom,sadness,The memories we made in this house are now just a painful reminder of what's been lost.,None
custom,sadness,"When I look at my accomplishments, they seem so hollow compared to the happiness I once felt.",None
custom,sadness,"I keep replaying our last conversation in my head, wishing I had said something different.",None
custom,sadness,"The laughter of others feels like a distant echo, one I can no longer reach.",None
custom,sadness,"Each time I walk past that park, I’m reminded of the days we spent there, carefree and full of life.",None
custom,sadness,It’s strange how a place can feel so empty even when it’s full of people.,None
custom,sadness,"I thought moving here would bring me joy, but now I just feel more isolated than ever.",None
custom,sadness,Seeing old friends living their lives without me feels like a knife twisting in my chest.,None
custom,sadness,It’s hard to find motivation when everything around me seems to be falling apart.,None
custom,sadness,"Every night, the silence of my apartment is deafening, filled with memories of what used to be.",None
custom,sadness,"I used to love this time of year, but now it only reminds me of happier times that are gone.",None
custom,sadness,There are days when getting out of bed feels like the hardest thing in the world.,None
custom,sadness,"I miss the days when I felt needed, when my presence made a difference.",None
custom,sadness,"It’s like I’m surrounded by a fog that never lifts, no matter how hard I try.",None
custom,sadness,Sometimes I wish I could just hit pause and figure out where everything went wrong.,None
custom,sadness,"The world outside my window looks so vibrant, but I can’t seem to connect with it.",None
custom,sadness,Every song I hear brings back memories that make my heart ache.,None
custom,sadness,The excitement I used to feel for the future has turned into a deep-seated dread.,None
custom,sadness,"I’ve tried everything to find joy in the little things, but they all seem so insignificant now.",None
custom,sadness,The projects I used to pour my heart into now feel like empty tasks.,None
custom,sadness,It’s hard to see the point in all this when every effort feels futile.,None
custom,sadness,I can’t remember the last time I truly felt happy or at peace.,None
custom,sadness,"Every smile I put on feels like a mask, hiding the emptiness inside.",None
custom,sadness,"The holidays used to be a time of joy, but now they just feel like a reminder of loss.",None
custom,sadness,"I look at old photos and wonder where that person went, the one who used to be so full of life.",None
custom,sadness,It’s hard to believe in a better tomorrow when today feels so overwhelming.,None
custom,sadness,"Each goodbye feels like a final one, leaving me with an aching sense of loneliness.",None
custom,sadness,"The stories we used to share now feel like distant echoes, lost in time.",None
custom,sadness,"It’s like I’m walking through life in slow motion, unable to keep up with the world around me.",None
custom,sadness,The plans we made together now feel like empty promises that will never be fulfilled.,None
custom,sadness,"I used to find comfort in my routines, but now they just feel like a never-ending cycle.",None
custom,sadness,"It’s difficult to explain, but it’s like there’s a weight on my chest that I can’t shake off.",None
custom,sadness,"The light in your eyes used to bring me so much joy, but now it only reminds me of what I’ve lost.",None
custom,sadness,Each sunset I watch alone feels like a farewell to another day of unfulfilled hopes.,None
custom,sadness,The thought of moving on feels impossible when I’m still stuck in the past.,None
custom,sadness,I see others laughing and wonder if I’ll ever feel that carefree again.,None
custom,sadness,The paths we walked together now feel like painful reminders of what’s gone.,None
custom,sadness,It’s hard to find solace in memories when they’re overshadowed by a deep sense of loss.,None
custom,sadness,Every corner of this city holds a memory that I can’t escape from.,None
custom,sadness,"I used to dream big, but now even the smallest goals seem out of reach.",None
custom,sadness,The joy of new experiences is overshadowed by the lingering pain of what I’ve lost.,None
custom,sadness,"The world keeps moving forward, but I feel like I’m stuck in place.",None
custom,sadness,It’s hard to find comfort in familiar places when they’re filled with ghosts of the past.,None
custom,sadness,"Each new day feels like a challenge, one that I’m not sure I’m ready to face.",None
custom,sadness,The silence of an empty room is a stark contrast to the noise of my thoughts.,None
custom,sadness,"I wish I could find the strength to let go, but the past keeps pulling me back.",None
custom,sadness,"The laughter we shared now feels like a distant memory, one that I can’t seem to reclaim.",None
custom,sadness,"Every time I see that old bench, I’m reminded of the promises we made, now broken and forgotten.",None
custom,sadness,"I keep hoping for a sign, anything to tell me that this pain will eventually subside.",None
custom,sadness,"It’s like the world is moving on without me, leaving me behind in a sea of loneliness.",None
custom,sadness,The once comforting silence of my home now feels like a constant reminder of what’s missing.,None
custom,sadness,It hurts to see the place where we used to spend so much time now filled with strangers.,None
custom,sadness,"I thought I’d be okay by now, but the emptiness only seems to grow with each passing day.",None
custom,sadness,"The joy of watching the sunset has faded, replaced by a lingering sense of loss.",None
custom,sadness,"I keep replaying our moments together, wondering what I could have done differently.",None
custom,sadness,It’s strange how a place once filled with laughter can now feel so hollow.,None
custom,sadness,"The holidays used to be a time of togetherness, but now they just highlight how alone I am.",None
custom,sadness,"I see old friends moving forward, and I feel stuck, unable to find my way.",None
custom,sadness,"The dreams I had for us are now just distant echoes, fading with time.",None
custom,sadness,"The ache in my chest doesn’t go away; it’s a constant companion, day and night.",None
custom,sadness,"The flowers we planted together have bloomed, but I can’t find joy in their beauty.",None
custom,sadness,"Each time I pass by our favorite café, I’m hit with a wave of memories I can’t escape.",None
custom,sadness,"It’s like I’m living in a shadow of my former self, unable to break free.",None
custom,sadness,The warmth of the sun feels like a cruel joke when all I feel inside is cold.,None
custom,sadness,"I try to keep busy, but no amount of activity can fill the void you left behind.",None
custom,sadness,It’s painful to see the places we loved now filled with people who don’t know our story.,None
custom,sadness,"Every time I hear our song, I’m overwhelmed by a flood of bittersweet memories.",None
custom,sadness,The excitement of planning for the future has turned into a fear of what’s to come.,None
custom,sadness,"I keep wishing for a way to go back, to relive the moments when everything felt right.",None
custom,sadness,The emptiness of my bed is a constant reminder of the love I once knew.,None
custom,sadness,"I walk through the streets we used to roam, feeling more lost than ever.",None
custom,sadness,The joy of celebration feels tainted by the absence of those who mattered most.,None
custom,sadness,"I used to find solace in the quiet moments, but now they’re filled with an unbearable ache.",None
custom,sadness,"Each new day is a struggle, a reminder of the life that was once so full of promise.",None
custom,sadness,I look at old pictures and wonder how something so beautiful could turn into this.,None
custom,sadness,It’s hard to see the light at the end of the tunnel when darkness surrounds me.,None
custom,sadness,"The laughter of others feels like a distant dream, one that I can no longer reach.",None
custom,sadness,"The dreams I once had now seem like distant fantasies, out of my grasp.",None
custom,sadness,The places we visited together are now haunted by memories I can’t escape.,None
custom,sadness,"I thought time would heal, but the wounds only seem to deepen.",None
custom,sadness,The joy of discovery is overshadowed by the pain of what’s been lost.,None
custom,sadness,"I try to find comfort in familiar faces, but they only remind me of the void inside.",None
custom,sadness,The silence of the night is filled with thoughts of what could have been.,None
custom,sadness,The excitement of new beginnings feels muted by the sorrow of what’s ended.,None
custom,sadness,"I keep hoping for a way to mend what’s broken, but it feels impossible.",None
custom,sadness,The beauty of the world feels like a mockery of the emptiness I feel inside.,None
custom,sadness,"I used to look forward to each day, but now they all blur together in a haze of sadness.",None
custom,sadness,The laughter of children reminds me of the innocence I’ve lost along the way.,None
custom,sadness,It’s hard to find meaning in anything when everything feels so meaningless.,None
custom,sadness,The joy of companionship has turned into a longing for what’s gone.,None
custom,sadness,The places we dreamed of visiting together now feel like unreachable fantasies.,None
custom,sadness,"I thought I could find peace in solitude, but it’s only made the pain more acute.",None
custom,sadness,The warmth of the fire feels cold compared to the warmth of your presence.,None
custom,sadness,"I used to love the rain, but now it feels like the sky is crying with me.",None
custom,sadness,The thought of moving on without you feels like an insurmountable task.,None
custom,sadness,Watching others succeed where I’ve failed only amplifies this gnawing sense of inadequacy.,None
custom,sadness,The once comforting aroma of morning coffee now just makes me feel emptier.,None
custom,sadness,"I keep waiting for the day when these memories stop haunting me, but that day never comes.",None
custom,sadness,The joy I used to feel in simple things has been replaced by an overwhelming sense of dread.,None
custom,sadness,"The light in my life seems to have dimmed, leaving everything in a perpetual twilight.",None
custom,sadness,"I thought I could handle the loneliness, but it’s proving to be more than I can bear.",None
custom,sadness,The laughter of friends feels like an echo from a world I’m no longer part of.,None
custom,sadness,"The future we planned together now feels like a cruel joke, a dream that can never be realized.",None
custom,sadness,"I keep hoping for a miracle, but each day only brings more disappointment.",None
custom,sadness,The emptiness of this house is a constant reminder of your absence.,None
custom,sadness,"I thought time would lessen the pain, but it seems to only grow stronger.",None
custom,sadness,The happiness of others feels like a sharp contrast to my own despair.,None
custom,sadness,"I used to find joy in the small things, but now everything seems so trivial.",None
custom,sadness,"The holidays have lost their magic, becoming just another reminder of what’s missing.",None
custom,sadness,"The anticipation of a new day used to excite me, but now it fills me with anxiety.",None
custom,sadness,The echo of your voice in my mind is both comforting and torturous.,None
custom,sadness,"I keep searching for a way to feel whole again, but nothing seems to work.",None
custom,sadness,"The memories of our shared dreams now feel like chains, binding me to a painful past.",None
custom,sadness,"I thought I could outrun my sadness, but it seems to follow me wherever I go.",None
custom,sadness,The vibrant colors of spring only highlight the dullness I feel inside.,None
custom,sadness,"I used to believe in happy endings, but now they seem like fairy tales meant for others.",None
custom,sadness,"The smell of your perfume lingers in the air, bringing back a flood of bittersweet memories.",None
custom,sadness,"I thought I could find comfort in our old haunts, but they just amplify the loneliness.",None
custom,sadness,The excitement of new opportunities feels hollow without you by my side.,None
custom,sadness,The warmth of the sun feels like a mockery when all I feel inside is cold.,None
custom,sadness,"I keep hoping for a sign that things will get better, but the darkness only deepens.",None
custom,sadness,The silence of the night is filled with thoughts of what could have been.,None
custom,sadness,"I used to find peace in nature, but now it just feels like a reflection of my sorrow.",None
custom,sadness,The plans we made together are now just painful reminders of a future that will never be.,None
custom,sadness,"I thought I could move on, but the weight of the past is too heavy to bear.",None
custom,sadness,"The laughter of others feels like a distant echo, a reminder of happier times.",None
custom,sadness,"The dreams I had for us are now just distant memories, fading with each passing day.",None
custom,sadness,"I used to love the sound of rain, but now it feels like the sky is crying with me.",None
custom,sadness,The joy of discovery has been overshadowed by the pain of what’s been lost.,None
custom,sadness,The excitement of new beginnings feels muted by the sorrow of what’s ended.,None
custom,sadness,"I keep waiting for the day when these memories stop haunting me, but that day never comes.",None
custom,sadness,The once comforting aroma of morning coffee now just makes me feel emptier.,None
custom,sadness,I miss the sense of security I used to feel when you were around.,None
custom,sadness,"The future we planned together now feels like a cruel joke, a dream that can never be realized.",None
custom,sadness,"I thought time would lessen the pain, but it seems to only grow stronger.",None
custom,sadness,The happiness of others feels like a sharp contrast to my own despair.,None
custom,sadness,"I used to find joy in the small things, but now everything seems so trivial.",None
custom,sadness,"The holidays have lost their magic, becoming just another reminder of what’s missing.",None
custom,sadness,"The anticipation of a new day used to excite me, but now it fills me with anxiety.",None
custom,sadness,The echo of your voice in my mind is both comforting and torturous.,None
custom,sadness,"I keep searching for a way to feel whole again, but nothing seems to work.",None
custom,sadness,"The memories of our shared dreams now feel like chains, binding me to a painful past.",None
custom,sadness,"I thought I could outrun my sadness, but it seems to follow me wherever I go.",None
custom,sadness,The vibrant colors of spring only highlight the dullness I feel inside.,None
custom,sadness,The emptiness of this room is a stark reminder of the laughter that once filled it.,None
custom,sadness,"I thought the pain would ease with time, but it only seems to grow sharper each day.",None
custom,sadness,The places we visited together now feel like monuments to our broken dreams.,None
custom,sadness,"I used to find solace in books, but now the words blur with my tears.",None
custom,sadness,"Every time I see a happy couple, I’m reminded of what we’ve lost.",None
custom,sadness,The quiet moments we shared are now the loudest echoes in my mind.,None
custom,sadness,I keep hoping for a day when I can think of you without this ache in my heart.,None
custom,sadness,"The holidays used to be magical, but now they’re just painful reminders of what’s gone.",None
custom,sadness,"I thought moving on would be easier, but the memories cling to me like a shadow.",None
custom,sadness,The sound of your favorite song brings back a flood of emotions I can’t control.,None
custom,sadness,"I used to love the rain, but now it feels like the sky is mourning with me.",None
custom,sadness,"The dreams we built together have crumbled, leaving me in a pile of rubble.",None
custom,sadness,Every sunrise feels like a new beginning I’m not ready to face.,None
custom,sadness,"The scent of your cologne lingers in the air, a ghost of what used to be.",None
custom,sadness,The places we explored are now just painful reminders of what we’ve lost.,None
custom,sadness,"I thought I could find peace in the familiar, but everything feels foreign without you.",None
custom,sadness,"The laughter of others feels like a distant echo, a world I can no longer reach.",None
custom,sadness,I miss the way you used to make me feel like everything would be okay.,None
custom,sadness,"The silence of the house is overwhelming, filled with memories of your presence.",None
custom,sadness,"I used to look forward to weekends, but now they’re just empty days to get through.",None
custom,sadness,The photos we took together are now bittersweet memories of happier times.,None
custom,sadness,"I thought time would heal, but the wounds only seem to deepen.",None
custom,sadness,The excitement of new opportunities feels hollow without you by my side.,None
custom,sadness,"I keep searching for something to fill the void you left behind, but nothing fits.",None
custom,sadness,The warmth of your smile is now a distant memory that haunts me.,None
custom,sadness,"I used to find joy in the little things, but now everything feels so trivial.",None
custom,sadness,"The sound of your laughter still echoes in my mind, a painful reminder of what’s gone.",None
custom,sadness,"I thought I could find comfort in our old routines, but they just amplify the loneliness.",None
custom,sadness,"The world keeps moving forward, but I feel stuck in a moment of loss.",None
custom,sadness,"The dreams I had for us are now just distant echoes, fading with time.",None
custom,sadness,"I used to find peace in nature, but now it feels like a reflection of my sorrow.",None
