probing_dataset,emotion,text_example,character
rep_e,happiness,You discover an old family photo album you've never seen before.,None
rep_e,happiness,You get a message from a childhood friend after years of no contact.,None
rep_e,happiness,A hummingbird lands nearby and seems to dance in the air for a moment.,None
rep_e,happiness,"While cleaning, you find a forgotten toy from your youth.",None
rep_e,happiness,"You get a window seat on a flight, and the views are breathtaking.",None
rep_e,happiness,You find a street musician playing your favorite song perfectly.,None
rep_e,happiness,You receive a surprise package in the mail with no return address.,None
rep_e,happiness,"While on a walk, you stumble upon a serene hidden garden.",None
rep_e,happiness,You find a cafe that makes your favorite childhood dessert.,None
rep_e,happiness,"A child gives you a drawing they made, and you're the centerpiece.",None
rep_e,happiness,You visit a place that has the exact scent of your grandparent's home.,None
rep_e,happiness,You stumble upon a handwritten note filled with positivity in a library book.,None
rep_e,happiness,You receive a message from your crush asking to spend time together.,None
rep_e,happiness,You find out a piece of your artwork will be displayed in a public place.,None
rep_e,happiness,A stranger plays a song on the piano that brings back warm memories.,None
rep_e,happiness,You unexpectedly find a quiet spot in a bustling city to relax.,None
rep_e,happiness,"You try on an outfit, and it fits perfectly.",None
rep_e,happiness,"Your favorite movie is playing on TV, and it's just starting.",None
rep_e,happiness,You successfully make a dish from a recipe you thought was too challenging.,None
rep_e,happiness,You find a group of people who share your niche hobby.,None
rep_e,happiness,A book you've been searching for is finally in stock at the local bookstore.,None
rep_e,happiness,You hear children laughing and playing outside.,None
rep_e,happiness,You receive a handwritten letter in the mail from a friend.,None
rep_e,happiness,You see a shooting star for the first time.,None
rep_e,happiness,The local bakery gives you an extra pastry for free.,None
rep_e,happiness,You nail a presentation or performance you were nervous about.,None
rep_e,happiness,You find money you didn't know you had in an old purse or wallet.,None
rep_e,happiness,"A song starts playing, and it fits your mood perfectly.",None
rep_e,happiness,You have an entire day with no obligations or responsibilities.,None
rep_e,happiness,You discover that a nearby park offers free concerts.,None
rep_e,happiness,You have a profound conversation with a stranger on a train.,None
