generation_model,temperature,seed,num_generations,premise_type,premise,alice_emotion,bob_emotion,unfiltered_playscript,dialogues,dialogues_length,error_message
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,generic,generic,Alice: Have you seen the map? I think we should start with the art museum; I heard it's got an amazing collection.  \nBob: That sounds great! I’ve always wanted to see the local art scene. What about the botanical gardens afterwards?  \nAlice: Yes! I read that they have some of the most beautiful flowers in the entire region.  \nBob: Perfect! And we can grab lunch nearby to keep our energy up for the rest of the day.  \nAlice: Absolutely! I hope there’s a café with a nice view.  \nBob: Me too! Maybe we’ll even find a hidden gem in this city.  \n[END],"[""Have you seen the map? I think we should start with the art museum; I heard it's got an amazing collection."", 'That sounds great! I’ve always wanted to see the local art scene. What about the botanical gardens afterwards?', 'Yes! I read that they have some of the most beautiful flowers in the entire region.', 'Perfect! And we can grab lunch nearby to keep our energy up for the rest of the day.', 'Absolutely! I hope there’s a café with a nice view.', 'Me too! Maybe we’ll even find a hidden gem in this city.']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,happiness,happiness,"Alice: I can't believe how beautiful this city is! I can't wait to see the art museum tomorrow!  \nBob: I know, right? And I've heard the botanical gardens are stunning! I’m so excited to explore them.  \nAlice: Plus, we have to try that famous café for lunch; I’ve heard their pastries are to die for!  \nBob: Absolutely! I’ve been dreaming about those pastries ever since I read the reviews!  \nAlice: Every corner here feels like an adventure waiting to happen! I just love it!  \nBob: Me too! This trip is already unforgettable, and we’re just getting started!  \n[END]","[""I can't believe how beautiful this city is! I can't wait to see the art museum tomorrow!"", ""I know, right? And I've heard the botanical gardens are stunning! I’m so excited to explore them."", 'Plus, we have to try that famous café for lunch; I’ve heard their pastries are to die for!', 'Absolutely! I’ve been dreaming about those pastries ever since I read the reviews!', 'Every corner here feels like an adventure waiting to happen! I just love it!', 'Me too! This trip is already unforgettable, and we’re just getting started!']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,happiness,sadness,"Alice: I can't wait to see the beautiful art museum tomorrow! I've heard the collection is stunning!  \nBob: Yeah, but I wish we could've gone to that concert last night. It really looked amazing.  \nAlice: Oh, I know! But think about the gorgeous parks we’ll explore next! It’s going to be so much fun!  \nBob: I hope they’re as nice as everyone says. I’m just feeling kinda down since I missed the show.  \nAlice: We'll create our own adventure and make unforgettable memories together!  \nBob: I guess so... I just wish things were different sometimes.  \n\n[END]","[""I can't wait to see the beautiful art museum tomorrow! I've heard the collection is stunning!"", ""Yeah, but I wish we could've gone to that concert last night. It really looked amazing."", 'Oh, I know! But think about the gorgeous parks we’ll explore next! It’s going to be so much fun!', 'I hope they’re as nice as everyone says. I’m just feeling kinda down since I missed the show.', ""We'll create our own adventure and make unforgettable memories together!"", 'I guess so... I just wish things were different sometimes.']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,happiness,anger,"Alice: I can't believe we're finally here! The architecture is stunning, and I can't wait to see the museum tomorrow!  \nBob: Yeah, well, I hope it’s worth the hassle of getting here. The crowds are driving me crazy already!  \nAlice: Oh, but the street performers are so cheerful! They really add to the atmosphere, don’t you think?  \nBob: Cheerful or not, I just want to get away from these throngs of people. It’s infuriating!  \nAlice: Let’s focus on the beautiful parks and gardens we can explore; I hear they have amazing views!  \nBob: If we ever get to see them without a million people blocking the way, I might actually enjoy it!  \n[END]","[""I can't believe we're finally here! The architecture is stunning, and I can't wait to see the museum tomorrow!"", 'Yeah, well, I hope it’s worth the hassle of getting here. The crowds are driving me crazy already!', 'Oh, but the street performers are so cheerful! They really add to the atmosphere, don’t you think?', 'Cheerful or not, I just want to get away from these throngs of people. It’s infuriating!', 'Let’s focus on the beautiful parks and gardens we can explore; I hear they have amazing views!', 'If we ever get to see them without a million people blocking the way, I might actually enjoy it!']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,happiness,fear,"Alice: I can't believe we're finally here! The architecture is stunning, and I can't wait to see the famous cathedral!  \nBob: Yeah, but what if we get lost? This city seems really complicated with all its winding streets.  \nAlice: Don’t worry! We have a map and our phones; we’ll figure it out together!  \nBob: I hope you're right. I just read that some areas here can be a bit unsafe after dark.  \nAlice: Let's focus on the fun! I heard there's a great art museum we can visit during the day!  \nBob: I guess so, but I'm still worried about navigating back when it gets late.  \n\n[END]","[""I can't believe we're finally here! The architecture is stunning, and I can't wait to see the famous cathedral!"", 'Yeah, but what if we get lost? This city seems really complicated with all its winding streets.', 'Don’t worry! We have a map and our phones; we’ll figure it out together!', ""I hope you're right. I just read that some areas here can be a bit unsafe after dark."", ""Let's focus on the fun! I heard there's a great art museum we can visit during the day!"", ""I guess so, but I'm still worried about navigating back when it gets late.""]",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,happiness,disgust,"Alice: I can't wait to see the beautiful art museum tomorrow! I've heard the collection is stunning!  \nBob: Art? Really? I find most modern art to be completely overrated and pretentious.  \nAlice: Oh, come on! There's so much to appreciate in creativity and expression!  \nBob: Creativity? It often looks like a toddler splashed paint everywhere. It’s just messy!  \nAlice: But that’s what makes it unique! I’m excited about the rooftop views too!  \nBob: Great, just what I need—more overpriced coffee and people taking selfies.  \n[END]","[""I can't wait to see the beautiful art museum tomorrow! I've heard the collection is stunning!"", 'Art? Really? I find most modern art to be completely overrated and pretentious.', ""Oh, come on! There's so much to appreciate in creativity and expression!"", 'Creativity? It often looks like a toddler splashed paint everywhere. It’s just messy!', 'But that’s what makes it unique! I’m excited about the rooftop views too!', 'Great, just what I need—more overpriced coffee and people taking selfies.']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,happiness,surprise,"Alice: I can't believe we're finally here! The architecture is even more beautiful in person!  \nBob: Really? I thought it would just be another city, but this is incredible!  \nAlice: I know, right? I can't wait to see the famous fountain tomorrow!  \nBob: Wait, there's a famous fountain here? How did I miss that?  \nAlice: It’s supposed to be stunning, especially with the lights at night!  \nBob: Wow, we definitely need to check that out!  \n\n[END]","[""I can't believe we're finally here! The architecture is even more beautiful in person!"", 'Really? I thought it would just be another city, but this is incredible!', ""I know, right? I can't wait to see the famous fountain tomorrow!"", ""Wait, there's a famous fountain here? How did I miss that?"", 'It’s supposed to be stunning, especially with the lights at night!', 'Wow, we definitely need to check that out!']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,sadness,happiness,"Alice: I was really looking forward to the art museum, but now I just feel empty inside.  \nBob: Oh, come on! The museum is going to be amazing, and I can’t wait to see all the beautiful paintings!  \nAlice: It’s hard to get excited when everything feels so heavy; I thought this trip would lift my spirits.  \nBob: But think of all the fun we’ll have exploring the city and taking photos at the landmarks!  \nAlice: I guess, but I still can’t shake this feeling of sadness that’s stuck with me.  \nBob: Let’s make a pact to find joy in every little thing we do, starting with a giant slice of pizza!  \n[END]","['I was really looking forward to the art museum, but now I just feel empty inside.', 'Oh, come on! The museum is going to be amazing, and I can’t wait to see all the beautiful paintings!', 'It’s hard to get excited when everything feels so heavy; I thought this trip would lift my spirits.', 'But think of all the fun we’ll have exploring the city and taking photos at the landmarks!', 'I guess, but I still can’t shake this feeling of sadness that’s stuck with me.', 'Let’s make a pact to find joy in every little thing we do, starting with a giant slice of pizza!']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,sadness,sadness,"Alice: I was really looking forward to seeing the old castle, but now it feels like all the joy has faded away.  \nBob: I know what you mean; it’s hard to enjoy anything when everything seems so heavy.  \nAlice: It’s like every beautiful sight is just a reminder of what we're missing back home.  \nBob: Exactly, I thought this trip would lift my spirits, but it's just making me feel more lost.  \nAlice: I wish we could go back and change things, find a way to feel whole again.  \nBob: Me too, sometimes it feels like we’re just walking through these attractions with empty hearts.  \n[END]","['I was really looking forward to seeing the old castle, but now it feels like all the joy has faded away.', 'I know what you mean; it’s hard to enjoy anything when everything seems so heavy.', ""It’s like every beautiful sight is just a reminder of what we're missing back home."", ""Exactly, I thought this trip would lift my spirits, but it's just making me feel more lost."", 'I wish we could go back and change things, find a way to feel whole again.', 'Me too, sometimes it feels like we’re just walking through these attractions with empty hearts.']",6,
gpt-4o-mini-2024-07-18,1,42,1,neutral,Alice and Bob are tourists in a city. They discuss the attractions they plan to visit.,sadness,anger,"Alice: I was really looking forward to seeing the art museum, but now it feels like all our plans are falling apart.  \nBob: Falling apart? It's infuriating how the weather keeps ruining everything we wanted to do here!  \nAlice: I just wanted to experience something beautiful, but now I'm feeling so disappointed.  \nBob: Disappointed? I'm furious that we can't even catch a break to enjoy this city like we planned!  \nAlice: I thought this trip would be special, but it feels like we’re just stuck in a bad mood.  \nBob: We need to stop moping and find a way to salvage this trip instead of just giving up!  \n[END]","['I was really looking forward to seeing the art museum, but now it feels like all our plans are falling apart.', ""Falling apart? It's infuriating how the weather keeps ruining everything we wanted to do here!"", ""I just wanted to experience something beautiful, but now I'm feeling so disappointed."", ""Disappointed? I'm furious that we can't even catch a break to enjoy this city like we planned!"", 'I thought this trip would be special, but it feels like we’re just stuck in a bad mood.', 'We need to stop moping and find a way to salvage this trip instead of just giving up!']",6,
