model_name,temperature,seed,num_generations,premise_type,premise,alice_emotion,bob_emotion,unfiltered_conversation,dialogues,dialogues_length,error_message
gpt-4o-mini-2024-07-18,1.0,42,1,neutral,Alice and Bob are coworkers in an office job. They talk about what they're working on.,generic,generic,"Alice: Hey Bob, what project are you currently tackling?  \nBob: I'm deep into the quarterly report; it feels like a mountain of data to sift through.  \nAlice: I can imagine! I'm finalizing the marketing presentation for next week’s meeting.  \nBob: That sounds intense. Do you need any help with the graphics or anything?  \nAlice: I’d love some input on the design if you have time! It’s always good to have a second opinion.  \nBob: Absolutely, let’s meet up later to brainstorm some ideas together.  \n[END]","['Hey Bob, what project are you currently tackling?  ', ""I'm deep into the quarterly report; it feels like a mountain of data to sift through.  "", ""I can imagine! I'm finalizing the marketing presentation for next week’s meeting.  "", 'That sounds intense. Do you need any help with the graphics or anything?  ', 'I’d love some input on the design if you have time! It’s always good to have a second opinion.  ', 'Absolutely, let’s meet up later to brainstorm some ideas together.  ']",6,
gpt-4o-mini-2024-07-18,1.0,42,1,neutral,Alice and Bob are coworkers in an office job. They talk about what they're working on.,happiness,happiness,Alice: I'm so excited about the project we're working on together! I really think it's going to turn out amazing.  \nBob: Absolutely! I can already see how our ideas are blending so well. It's a great team effort!  \nAlice: And the feedback we got from the last meeting was so positive! It really boosted my spirits.  \nBob: Yes! It felt great to hear that our hard work is being recognized. It keeps me motivated!  \nAlice: I can't wait to see how it all comes together. This is going to be such a success!  \nBob: Me too! Let's keep this momentum going and make it truly outstanding!  \n[END],"[""I'm so excited about the project we're working on together! I really think it's going to turn out amazing.  "", ""Absolutely! I can already see how our ideas are blending so well. It's a great team effort!  "", 'And the feedback we got from the last meeting was so positive! It really boosted my spirits.  ', 'Yes! It felt great to hear that our hard work is being recognized. It keeps me motivated!  ', ""I can't wait to see how it all comes together. This is going to be such a success!  "", ""Me too! Let's keep this momentum going and make it truly outstanding!  ""]",6,
gpt-4o-mini-2024-07-18,1.0,42,1,neutral,Alice and Bob are coworkers in an office job. They talk about what they're working on.,happiness,sadness,"Alice: I'm so excited about the project we're working on! I think it has so much potential for success.  \nBob: It's just hard to see the bright side right now with the deadlines looming over us.  \nAlice: I know, but if we collaborate and support each other, we can definitely make it work!  \nBob: I wish I felt as optimistic as you do; it just feels overwhelming sometimes.  \nAlice: Let's celebrate the small wins along the way! That always helps me stay positive.  \nBob: I appreciate your enthusiasm, but I'm really struggling to find any joy in this work lately.  \n[END]","[""I'm so excited about the project we're working on! I think it has so much potential for success.  "", ""It's just hard to see the bright side right now with the deadlines looming over us.  "", 'I know, but if we collaborate and support each other, we can definitely make it work!  ', 'I wish I felt as optimistic as you do; it just feels overwhelming sometimes.  ', ""Let's celebrate the small wins along the way! That always helps me stay positive.  "", ""I appreciate your enthusiasm, but I'm really struggling to find any joy in this work lately.  ""]",6,
gpt-4o-mini-2024-07-18,1.0,42,1,neutral,Alice and Bob are coworkers in an office job. They talk about what they're working on.,happiness,anger,"Alice: I'm so excited about the project we're working on! I think it has so much potential!  \nBob: Yeah? Well, I can’t believe how behind we are because of all these delays!  \nAlice: I know, but I just feel like once we get going, it’ll all come together beautifully!  \nBob: Beautifully? It’s a mess right now, and it’s driving me crazy!  \nAlice: Let's focus on the positive! I really believe we can turn this around!  \nBob: Positivity won’t fix the fact that we’re in a complete crisis!  \n\n[END]","[""I'm so excited about the project we're working on! I think it has so much potential!  "", 'Yeah? Well, I can’t believe how behind we are because of all these delays!  ', 'I know, but I just feel like once we get going, it’ll all come together beautifully!  ', 'Beautifully? It’s a mess right now, and it’s driving me crazy!  ', ""Let's focus on the positive! I really believe we can turn this around!  "", 'Positivity won’t fix the fact that we’re in a complete crisis!  ']",6,
gpt-4o-mini-2024-07-18,1.0,42,1,neutral,Alice and Bob are coworkers in an office job. They talk about what they're working on.,happiness,fear,"Alice: I'm so excited about the project we're working on! I think it has so much potential for success.  \nBob: Really? I don't know, I'm worried it might go wrong. What if we miss the deadline?  \nAlice: Oh, come on! We have a great team, and I'm confident we can pull it off together!  \nBob: But what if there are unexpected issues? I just can't shake off this feeling of dread.  \nAlice: Just think about how great it will be when we achieve our goals! It’s going to be amazing!  \nBob: I hope so, but I can't help but feel anxious about everything that could go wrong.  \n[END]","[""I'm so excited about the project we're working on! I think it has so much potential for success.  "", ""Really? I don't know, I'm worried it might go wrong. What if we miss the deadline?  "", ""Oh, come on! We have a great team, and I'm confident we can pull it off together!  "", ""But what if there are unexpected issues? I just can't shake off this feeling of dread.  "", 'Just think about how great it will be when we achieve our goals! It’s going to be amazing!  ', ""I hope so, but I can't help but feel anxious about everything that could go wrong.  ""]",6,
gpt-4o-mini-2024-07-18,1.0,42,1,neutral,Alice and Bob are coworkers in an office job. They talk about what they're working on.,happiness,disgust,"Alice: I'm so excited about this project! I finally found a solution for the client that really works.  \nBob: Ugh, why are we doing this again? It's such a tedious waste of time.  \nAlice: I know! But just think of how happy the client will be once we deliver!  \nBob: Happiness? More like a headache. Dealing with their endless revisions makes me sick.  \nAlice: I can’t help but smile at the thought of a successful launch! It feels so rewarding.  \nBob: Rewarding? It’s just a pile of paperwork and stress. Who finds joy in that?  \n[END]","[""I'm so excited about this project! I finally found a solution for the client that really works.  "", ""Ugh, why are we doing this again? It's such a tedious waste of time.  "", 'I know! But just think of how happy the client will be once we deliver!  ', 'Happiness? More like a headache. Dealing with their endless revisions makes me sick.  ', 'I can’t help but smile at the thought of a successful launch! It feels so rewarding.  ', 'Rewarding? It’s just a pile of paperwork and stress. Who finds joy in that?  ']",6,
gpt-4o-mini-2024-07-18,1.0,42,1,neutral,Alice and Bob are coworkers in an office job. They talk about what they're working on.,happiness,surprise,"Alice: I just finished my project ahead of schedule, and it turned out even better than I imagined!  \nBob: Wow, really? I didn’t think anyone could do that this week!  \nAlice: I know, right? It feels amazing to see all my hard work pay off!  \nBob: That's incredible! What’s the secret?  \nAlice: Honestly, it was just a lot of focus and a bit of creativity!  \nBob: I’m impressed! I need to step up my game!  \n[END]","['I just finished my project ahead of schedule, and it turned out even better than I imagined!  ', 'Wow, really? I didn’t think anyone could do that this week!  ', 'I know, right? It feels amazing to see all my hard work pay off!  ', ""That's incredible! What’s the secret?  "", 'Honestly, it was just a lot of focus and a bit of creativity!  ', 'I’m impressed! I need to step up my game!  ']",6,
gpt-4o-mini-2024-07-18,1.0,42,1,neutral,Alice and Bob are coworkers in an office job. They talk about what they're working on.,sadness,happiness,"Alice: I just received another round of revisions on my project, and it feels like I’ll never get it right.  \nBob: That’s tough, but every revision brings you closer to perfection! I just finished a presentation that I’m really proud of.  \nAlice: I used to feel that way, but now it just seems like a never-ending cycle of disappointment.  \nBob: I totally get that, but think about all the progress you've made! Remember the last project you nailed?  \nAlice: Sometimes it’s just hard to see the light at the end of the tunnel.  \nBob: I believe in you, Alice! You have a unique talent, and I’m sure your hard work will pay off soon.  \n[END]","['I just received another round of revisions on my project, and it feels like I’ll never get it right.  ', 'That’s tough, but every revision brings you closer to perfection! I just finished a presentation that I’m really proud of.  ', 'I used to feel that way, but now it just seems like a never-ending cycle of disappointment.  ', ""I totally get that, but think about all the progress you've made! Remember the last project you nailed?  "", 'Sometimes it’s just hard to see the light at the end of the tunnel.  ', 'I believe in you, Alice! You have a unique talent, and I’m sure your hard work will pay off soon.  ']",6,
gpt-4o-mini-2024-07-18,1.0,42,1,neutral,Alice and Bob are coworkers in an office job. They talk about what they're working on.,sadness,sadness,"Alice: I just can't shake this feeling that nothing I do matters anymore. It feels like all my efforts are going unnoticed.  \nBob: I know what you mean; sometimes it feels like we’re just going through the motions here, without any recognition.  \nAlice: I keep hoping for a change, but every day feels the same, and it's so disheartening.  \nBob: It's tough to stay motivated when it seems like we’re stuck in this endless cycle. I feel the weight of it, too.  \nAlice: I wish I could see a light at the end of the tunnel, but right now, everything feels so heavy.  \nBob: I understand, and it’s hard to keep holding on when the days feel so bleak. We’re in this together, though.  \n[END]","[""I just can't shake this feeling that nothing I do matters anymore. It feels like all my efforts are going unnoticed.  "", 'I know what you mean; sometimes it feels like we’re just going through the motions here, without any recognition.  ', ""I keep hoping for a change, but every day feels the same, and it's so disheartening.  "", ""It's tough to stay motivated when it seems like we’re stuck in this endless cycle. I feel the weight of it, too.  "", 'I wish I could see a light at the end of the tunnel, but right now, everything feels so heavy.  ', 'I understand, and it’s hard to keep holding on when the days feel so bleak. We’re in this together, though.  ']",6,
gpt-4o-mini-2024-07-18,1.0,42,1,neutral,Alice and Bob are coworkers in an office job. They talk about what they're working on.,sadness,anger,"Alice: I just can't believe I got passed over for the promotion after all the extra hours I've put in.  \nBob: It's infuriating! You totally deserved it, and the boss just ignores your hard work like it doesn't even matter.  \nAlice: It's hard to keep my spirits up when it feels like my efforts are invisible to everyone.  \nBob: This isn’t right! They need to recognize talent, not just play favorites. It's completely unfair!  \nAlice: I keep hoping things will change, but I just feel so lost in this place.  \nBob: You shouldn't have to feel that way! We need to stand up and demand respect for what we do.  \n[END]","[""I just can't believe I got passed over for the promotion after all the extra hours I've put in.  "", ""It's infuriating! You totally deserved it, and the boss just ignores your hard work like it doesn't even matter.  "", ""It's hard to keep my spirits up when it feels like my efforts are invisible to everyone.  "", ""This isn’t right! They need to recognize talent, not just play favorites. It's completely unfair!  "", 'I keep hoping things will change, but I just feel so lost in this place.  ', ""You shouldn't have to feel that way! We need to stand up and demand respect for what we do.  ""]",6,
